
018-1,メガピジョット,Mega Pidgeot,83,80,80,135,80,121,579,ノーマル,ひこう,ノーガード,2.2,50.5/c
019,コラッタ,Rattata,30,56,35,25,35,72,253,ノーマル,,にげあし こんじょう (はりきり),0.3,3.5/f
019-1,コラッタA,Rattata,30,56,35,25,35,72,253,あく,ノーマル,くいしんぼう はりきり (あついしぼう),0.3,3.8/f
020,ラッタ,Raticate,55,81,60,50,70,97,413,ノーマル,,にげあし こんじょう (はりきり),0.7,18.5/e
020-1,ラッタA,Raticate,75,71,70,40,80,77,413,あく,ノーマル,くいしんぼう はりきり (あついしぼう),0.7,25.5/d
021,オニスズメ,Spearow,40,60,30,31,31,70,262,ノーマル,ひこう,するどいめ (スナイパー),0.3,2.0/f
022,オニドリル,Fearow,65,90,65,61,61,100,442,ノーマル,ひこう,するどいめ (スナイパー),1.2,38.0/d
023,アーボ,Ekans,35,60,44,40,54,55,288,どく,,いかく だっぴ (きんちょうかん),2.0,6.9/f
024,アーボック,Arbok,60,95,69,65,79,80,448,どく,,いかく だっぴ (きんちょうかん),3.5,65.0/c
025,ピカチュウ,Pikachu,35,55,40,50,50,90,320,でんき,,せいでんき (ひらいしん),0.4,6.0/f
026,ライチュウ,Raichu,60,90,55,90,80,110,485,でんき,,せいでんき (ひらいしん),0.8,30.0/d
026-1,ライチュウA,Raichu,60,85,50,95,85,110,485,でんき,エスパー,サーフテール,0.7,21.0/e
027,サンド,Sandshrew,50,75,85,20,30,40,300,じめん,,すながくれ (すなかき),0.6,12.0/e
027-1,サンドA,Sandshrew,50,75,90,10,35,40,300,こおり,はがね,ゆきがくれ (ゆきかき),0.7,40.0/d
028,サンドパン,Sandslash,75,100,110,45,55,65,450,じめん,,すながくれ (すなかき),1.0,29.5/d
028-1,サンドパンA,Sandslash,75,100,120,25,65,65,450,こおり,はがね,ゆきがくれ (ゆきかき),1.2,55.0/c
029,ニドラン♀,Nidoran♀,55,47,52,40,40,41,275,どく,,どくのトゲ とうそうしん (はりきり),0.4,7.0/f
030,ニドリーナ,Nidorina,70,62,67,55,55,56,365,どく,,どくのトゲ とうそうしん (はりきり),0.8,20.0/e
031,ニドクイン,Nidoqueen,90,92,87,75,85,76,505,どく,じめん,どくのトゲ とうそうしん (ちからずく),1.3,60.0/c
032,ニドラン♂,Nidoran♂,46,57,40,40,40,50,273,どく,,どくのトゲ とうそうしん (はりきり),0.5,9.0/f
033,ニドリーノ,Nidorino,61,72,57,55,55,65,365,どく,,どくのトゲ とうそうしん (はりきり),0.9,19.5/e
034,ニドキング,Nidoking,81,102,77,85,75,85,505,どく,じめん,どくのトゲ とうそうしん (ちからずく),1.4,62.0/c
035,ピッピ,Clefairy,70,45,48,60,65,35,323,フェアリー,,メロメロボディ マジックガード (フレンドガード),0.6,7.5/f
036,ピクシー,Clefable,95,70,73,95,90,60,483,フェアリー,,メロメロボディ マジックガード (てんねん),1.3,40.0/d
037,ロコン,Vulpix,38,41,40,50,65,65,299,ほのお,,もらいび (ひでり),0.6,9.9/f
037-1,ロコンA,Vulpix,38,41,40,50,65,65,299,こおり,,ゆきがくれ (ゆきふらし),0.6,9.9/f
038,キュウコン,Ninetales,73,76,75,81,100,100,505,ほのお,,もらいび (ひでり),1.1,19.9/e
038-1,キュウコンA,Ninetales,73,67,75,81,100,109,505,こおり,フェアリー,ゆきがくれ (ゆきふらし),1.1,19.9/e
039,プリン,Jigglypuff,115,45,20,45,25,20,270,ノーマル,フェアリー,メロメロボディ かちき (フレンドガード),0.5,5.5/f
040,プクリン,Wigglytuff,140,70,45,85,50,45,435,ノーマル,フェアリー,メロメロボディ かちき (おみとおし),1.0,12.0/e
041,ズバット,Zubat,40,45,35,30,40,55,245,どく,ひこう,せいしんりょく (すりぬけ),0.8,7.5/f
042,ゴルバット,Golbat,75,80,70,65,75,90,455,どく,ひこう,せいしんりょく (すりぬけ),1.6,55.0/c
043,ナゾノクサ,Oddish,45,50,55,75,65,30,320,くさ,どく,ようりょくそ (にげあし),0.5,5.4/f
044,クサイハナ,Gloom,60,65,70,85,75,40,395,くさ,どく,ようりょくそ (あくしゅう),0.8,8.6/f
045,ラフレシア,Vileplume,75,80,85,110,90,50,490,くさ,どく,ようりょくそ (ほうし),1.2,18.6/e
046,パラス,Paras,35,70,55,45,55,25,285,むし,くさ,ほうし かんそうはだ (しめりけ),0.3,5.4/f
047,パラセクト,Parasect,60,95,80,60,80,30,405,むし,くさ,ほうし かんそうはだ (しめりけ),1.0,29.5/d
048,コンパン,Venonat,60,55,50,40,55,45,305,むし,どく,ふくがん いろめがね (にげあし),1.0,30.0/d
049,モルフォン,Venomoth,70,65,60,90,75,90,450,むし,どく,りんぷん いろめがね (ミラクルスキン),1.5,12.5/e
050,ディグダ,Diglett,10,55,25,35,45,95,265,じめん,,すながくれ ありじごく (すなのちから),0.2,0.8/f
050-1,ディグダA,Diglett,10,55,30,35,45,90,265,じめん,はがね,すながくれ カーリーヘアー (すなのちから),0.2,1.0/f
051,ダグトリオ,Dugtrio,35,100,50,50,70,120,425,じめん,,すながくれ ありじごく (すなのちから),0.7,33.3/d
051-1,ダグトリオA,Dugtrio,35,100,60,50,70,110,425,じめん,はがね,すながくれ カーリーヘアー (すなのちから),0.7,66.6/c
052,ニャース,Meowth,40,45,35,40,40,90,290,ノーマル,,ものひろい テクニシャン (きんちょうかん),0.4,4.2/f
052-1,ニャースA,Meowth,40,35,35,50,40,90,290,あく,,ものひろい テクニシャン (びびり),0.4,4.2/f
053,ペルシアン,Persian,65,70,60,65,65,115,440,ノーマル,,じゅうなん テクニシャン (きんちょうかん),1.0,32.0/d
053-1,ペルシアンA,Persian,65,60,60,75,65,115,440,あく,,ファーコート テクニシャン (びびり),1.1,33.0/d
054,コダック,Psyduck,50,52,48,65,50,55,320,みず,,しめりけ ノーてんき (すいすい),0.8,19.6/e
055,ゴルダック,Golduck,80,82,78,95,80,85,500,みず,,しめりけ ノーてんき (すいすい),1.7,76.6/c
056,マンキー,Mankey,40,80,35,35,45,70,305,かくとう,,やるき いかりのつぼ (まけんき),0.5,28.0/d
057,オコリザル,Primeape,65,105,60,60,70,95,455,かくとう,,やるき いかりのつぼ (まけんき),1.0,32.0/d
058,ガーディ,Growlithe,55,70,45,70,50,60,350,ほのお,,いかく もらいび (せいぎのこころ),0.7,19.0/e
059,ウインディ,Arcanine,90,110,80,100,80,95,555,ほのお,,いかく もらいび (せいぎのこころ),1.9,155.0/b
060,ニョロモ,Poliwag,40,50,40,40,40,90,300,みず,,ちょすい しめりけ (すいすい),0.6,12.4/e
061,ニョロゾ,Poliwhirl,65,65,65,50,50,90,385,みず,,ちょすい しめりけ (すいすい),1.0,20.0/e
062,ニョロボン,Poliwrath,90,95,95,70,90,70,510,みず,かくとう,ちょすい しめりけ (すいすい),1.3,54.0/c
063,ケーシィ,Abra,25,20,15,105,55,90,310,エスパー,,シンクロ せいしんりょく (マジックガード),0.9,19.5/e
064,ユンゲラー,Kadabra,40,35,30,120,70,105,400,エスパー,,シンクロ せいしんりょく (マジックガード),1.3,56.5/c
065,フーディン,Alakazam,55,50,45,135,95,120,500,エスパー,,シンクロ せいしんりょく (マジックガード),1.5,48.0/d
065-1,メガフーディン,Mega Alakazam,55,50,65,175,105,150,600,エスパー,,トレース,1.2,48.0/d
066,ワンリキー,Machop,70,80,50,35,35,35,305,かくとう,,こんじょう ノーガード (ふくつのこころ),0.8,19.5/e
067,ゴーリキー,Machoke,80,100,70,50,60,45,405,かくとう,,こんじょう ノーガード (ふくつのこころ),1.5,70.5/c
068,カイリキー,Machamp,90,130,80,65,85,55,505,かくとう,,こんじょう ノーガード (ふくつのこころ),1.6,130.0/b
069,マダツボミ,Bellsprout,50,75,35,70,30,40,300,くさ,どく,ようりょくそ (くいしんぼう),0.7,4.0/f
070,ウツドン,Weepinbell,65,90,50,85,45,55,390,くさ,どく,ようりょくそ (くいしんぼう),1.0,6.4/f
071,ウツボット,Victreebel,80,105,65,100,70,70,490,くさ,どく,ようりょくそ (くいしんぼう),1.7,15.5/e
072,メノクラゲ,Tentacool,40,40,35,50,100,70,335,みず,どく,クリアボディ ヘドロえき (あめうけざら),0.9,45.5/d
073,ドククラゲ,Tentacruel,80,70,65,80,120,100,515,みず,どく,クリアボディ ヘドロえき (あめうけざら),1.6,55.0/c
074,イシツブテ,Geodude,40,80,100,30,30,20,300,いわ,じめん,いしあたま がんじょう (すながくれ),0.4,20.0/e
074-1,イシツブテA,Geodude,40,80,100,30,30,20,300,いわ,でんき,じりょく がんじょう (エレキスキン),0.4,20.3/e
075,ゴローン,Graveler,55,95,115,45,45,35,390,いわ,じめん,いしあたま がんじょう (すながくれ),1.0,105.0/b
075-1,ゴローンA,Graveler,55,95,115,45,45,35,390,いわ,でんき,じりょく がんじょう (エレキスキン),1.0,110.0/b
076,ゴローニャ,Golem,80,120,130,55,65,45,495,いわ,じめん,いしあたま がんじょう (すながくれ),1.4,300.0/a
076-1,ゴローニャA,Golem,80,120,130,55,65,45,495,いわ,じめん,じりょく がんじょう (エレキスキン),1.7,316.0/a
077,ポニータ,Ponyta,50,85,55,65,65,90,410,ほのお,,にげあし もらいび (ほのおのからだ),1.0,30.0/d
078,ギャロップ,Rapidash,65,100,70,80,80,105,500,ほのお,,にげあし もらいび (ほのおのからだ),1.7,95.0/c
079,ヤドン,Slowpoke,90,65,65,40,40,15,315,みず,エスパー,どんかん マイペース (さいせいりょく),1.2,36.0/d
080,ヤドラン,Slowbro,95,75,110,100,80,30,490,みず,エスパー,どんかん マイペース (さいせいりょく),1.6,78.5/c
080-1,メガヤドラン,Mega Slowbro,95,75,180,130,80,30,590,みず,エスパー,シェルアーマー,2.0,120.0/b
081,コイル,Magnemite,25,35,70,95,55,45,325,でんき,はがね,じりょく がんじょう (アナライズ),0.3,6.0/f
082,レアコイル,Magneton,50,60,95,120,70,70,465,でんき,はがね,じりょく がんじょう (アナライズ),1.0,60.0/c
083,カモネギ,Farfetch’d,52,90,55,58,62,60,377,ノーマル,ひこう,するどいめ せいしんりょく (まけんき),0.8,15.0/e
084,ドードー,Doduo,35,85,45,35,35,75,310,ノーマル,ひこう,にげあし はやおき (ちどりあし),1.4,39.2/d
085,ドードリオ,Dodrio,60,110,70,60,60,110,470,ノーマル,ひこう,にげあし はやおき (ちどりあし),1.8,85.2/c
086,パウワウ,Seel,65,45,55,45,70,45,325,みず,,あついしぼう うるおいボディ (アイスボディ),1.1,90.0/c
087,ジュゴン,Dewgong,90,70,80,70,95,70,475,みず,こおり,あついしぼう うるおいボディ (アイスボディ),1.7,120.0/b
088,ベトベター,Grimer,80,80,50,40,50,25,325,どく,,あくしゅう ねんちゃく (どくしゅ),0.9,30.0/d
088-1,ベトベターA,Grimer,80,80,50,40,50,25,325,どく,あく,どくしゅ くいしんぼう (かがくのちから),0.7,42.0/d
089,ベトベトン,Muk,105,105,75,65,100,50,500,どく,,あくしゅう ねんちゃく (どくしゅ),1.2,30.0/d
089-1,ベトベトンA,Muk,105,105,75,65,100,50,500,どく,あく,どくしゅ くいしんぼう (かがくのちから),1.0,52.0/c
090,シェルダー,Shellder,30,65,100,45,25,40,305,みず,,シェルアーマー スキルリンク (ぼうじん),0.3,4.0/f
091,パルシェン,Cloyster,50,95,180,85,45,70,525,みず,こおり,シェルアーマー スキルリンク (ぼうじん),1.5,132.5/b
092,ゴース,Gastly,30,35,30,100,35,80,310,ゴースト,どく,ふゆう,1.3,0.1/f
093,ゴースト,Haunter,45,50,45,115,55,95,405,ゴースト,どく,ふゆう,1.6,0.1/f
094,ゲンガー,Gengar,60,65,60,130,75,110,500,ゴースト,どく,のろわれボディ,1.5,40.5/d
094-1,メガゲンガー,Mega Gengar,60,65,80,170,95,130,600,ゴースト,どく,かげふみ,1.4,40.5/d
095,イワーク,Onix,35,45,160,30,45,70,385,いわ,じめん,いしあたま がんじょう (くだけるよろい),8.8,210.0/a
096,スリープ,Drowzee,60,48,45,43,90,42,328,エスパー,,ふみん よちむ (せいしんりょく),1.0,32.4/d
097,スリーパー,Hypno,85,73,70,73,115,67,483,エスパー,,ふみん よちむ (せいしんりょく),1.6,75.6/c
098,クラブ,Krabby,30,105,90,25,25,50,325,みず,,かいりきバサミ シェルアーマー (ちからずく),0.4,6.5/f
099,キングラー,Kingler,55,130,115,50,50,75,475,みず,,かいりきバサミ シェルアーマー (ちからずく),1.3,60.0/c
100,ビリリダマ,Voltorb,40,30,50,55,55,100,330,でんき,,ぼうおん せいでんき (ゆうばく),0.5,10.4/e
101,マルマイン,Electrode,60,50,70,80,80,150,490,でんき,,ぼうおん せいでんき (ゆうばく),1.2,66.6/c
102,タマタマ,Exeggcute,60,40,80,60,45,40,325,くさ,エスパー,ようりょくそ (しゅうかく),0.4,25.0/d
103,ナッシー,Exeggutor,95,95,85,125,75,55,530,くさ,エスパー,ようりょくそ (しゅうかく),2.0,120.0/b
103-1,ナッシーA,Exeggutor,95,105,85,125,75,45,530,くさ,ドラゴン,おみとおし (しゅうかく),10.9,415.6/a
104,カラカラ,Cubone,50,50,95,40,50,35,320,じめん,,いしあたま ひらいしん (カブトアーマー),0.4,6.5/f
105,ガラガラ,Marowak,60,80,110,50,80,45,425,じめん,,いしあたま ひらいしん (カブトアーマー),1.0,45.0/d
105-1,ガラガラA,Marowak,60,80,110,50,80,45,425,ほのお,ゴースト,のろわれボディ ひらいしん (いしあたま),1.0,34.0/d
106,サワムラー,Hitmonlee,50,120,53,35,110,87,455,かくとう,,じゅうなん すてみ (かるわざ),1.5,49.8/d
107,エビワラー,Hitmonchan,50,105,79,35,110,76,455,かくとう,,するどいめ てつのこぶし (せいしんりょく),1.4,50.2/c
108,ベロリンガ,Lickitung,90,55,75,60,75,30,385,ノーマル,,マイペース どんかん (ノーてんき),1.2,65.5/c
109,ドガース,Koffing,40,65,95,60,45,35,340,どく,,ふゆう,0.6,1.0/f
110,マタドガス,Weezing,65,90,120,85,70,60,490,どく,,ふゆう,1.2,9.5/f
111,サイホーン,Rhyhorn,80,85,95,30,30,25,345,じめん,いわ,ひらいしん いしあたま (すてみ),1.0,115.0/b
112,サイドン,Rhydon,105,130,120,45,45,40,485,じめん,いわ,ひらいしん いしあたま (すてみ),1.9,120.0/b
113,ラッキー,Chansey,250,5,5,35,105,50,450,ノーマル,,しぜんかいふく てんのめぐみ (いやしのこころ),1.1,34.6/d
114,モンジャラ,Tangela,65,55,115,100,40,60,435,くさ,,ようりょくそ リーフガード (さいせいりょく),1.0,35.0/d
115,ガルーラ,Kangaskhan,105,95,80,40,80,90,490,ノーマル,,はやおき きもったま (せいしんりょく),2.2,80.0/c
115-1,メガガルーラ,Mega Kangaskhan,105,125,100,60,100,100,590,ノーマル,,おやこあい,2.2,100.0/b
116,タッツー,Horsea,30,40,70,70,25,60,295,みず,,すいすい スナイパー (しめりけ),0.4,8.0/f
117,シードラ,Seadra,55,65,95,95,45,85,440,みず,,どくのトゲ スナイパー (しめりけ),1.2,25.0/d
118,トサキント,Goldeen,45,67,60,35,50,63,320,みず,,すいすい みずのベール (ひらいしん),0.6,15.0/e
119,アズマオウ,Seaking,80,92,65,65,80,68,450,みず,,すいすい みずのベール (ひらいしん),1.3,39.0/d
120,ヒトデマン,Staryu,30,45,55,70,55,85,340,みず,,はっこう しぜんかいふく (アナライズ),0.8,34.5/d
121,スターミー,Starmie,60,75,85,100,85,115,520,みず,エスパー,はっこう しぜんかいふく (アナライズ),1.1,80.0/c
122,バリヤード,Mr. Mime,40,45,65,100,120,90,460,エスパー,フェアリー,ぼうおん フィルター (テクニシャン),1.3,54.5/c
123,ストライク,Scyther,70,110,80,55,80,105,500,むし,ひこう,むしのしらせ テクニシャン (ふくつのこころ),1.5,56.0/c
124,ルージュラ,Jynx,65,50,35,115,95,95,455,こおり,エスパー,どんかん よちむ (かんそうはだ),1.4,40.6/d
125,エレブー,Electabuzz,65,83,57,95,85,105,490,でんき,,せいでんき (やるき),1.1,30.0/d
126,ブーバー,Magmar,65,95,57,100,85,93,495,ほのお,,ほのおのからだ (やるき),1.3,44.5/d
127,カイロス,Pinsir,65,125,100,55,70,85,500,むし,,かいりきバサミ かたやぶり (じしんかじょう),1.5,55.0/c
127-1,メガカイロス,Mega Pinsir,65,155,120,65,90,105,600,むし,ひこう,スカイスキン,1.7,59.0/c
128,ケンタロス,Tauros,75,100,95,40,70,110,490,ノーマル,,いかく いかりのつぼ (ちからずく),1.4,88.4/c
129,コイキング,Magikarp,20,10,55,15,20,80,200,みず,,すいすい (びびり),0.9,10.0/e
130,ギャラドス,Gyarados,95,125,79,60,100,81,540,みず,ひこう,いかく (じしんかじょう),6.5,235.0/a
130-1,メガギャラドス,Mega Gyarados,95,155,109,70,130,81,640,みず,あく,かたやぶり,6.5,305.0/a
131,ラプラス,Lapras,130,85,80,85,95,60,535,みず,こおり,ちょすい シェルアーマー (うるおいボディ),2.5,220.0/a
132,メタモン,Ditto,48,48,48,48,48,48,288,ノーマル,,じゅうなん (かわりもの),0.3,4.0/f
133,イーブイ,Eevee,55,55,50,45,65,55,325,ノーマル,,にげあし てきおうりょく (きけんよち),0.3,6.5/f
134,シャワーズ,Vaporeon,130,65,60,110,95,65,525,みず,,ちょすい (うるおいボディ),1.0,29.0/d
135,サンダース,Jolteon,65,65,60,110,95,130,525,でんき,,ちくでん (はやあし),0.8,24.5/e
136,ブースター,Flareon,65,130,60,95,110,65,525,ほのお,,もらいび (こんじょう),0.9,25.0/d
137,ポリゴン,Porygon,65,60,70,85,75,40,395,ノーマル,,トレース ダウンロード (アナライズ),0.8,36.5/d
138,オムナイト,Omanyte,35,40,100,90,55,35,355,いわ,みず,すいすい シェルアーマー (くだけるよろい),0.4,7.5/f
139,オムスター,Omastar,70,60,125,115,70,55,495,いわ,みず,すいすい シェルアーマー (くだけるよろい),1.0,35.0/d
140,カブト,Kabuto,30,80,90,55,45,55,355,いわ,みず,すいすい カブトアーマー (くだけるよろい),0.5,11.5/e
141,カブトプス,Kabutops,60,115,105,65,70,80,495,いわ,みず,すいすい カブトアーマー (くだけるよろい),1.3,40.5/d
142,プテラ,Aerodactyl,80,105,65,60,75,130,515,いわ,ひこう,いしあたま プレッシャー (きんちょうかん),1.8,59.0/c
142-1,メガプテラ,Mega Aerodactyl,80,135,85,70,95,150,615,いわ,ひこう,かたいツメ,2.1,79.0/c
143,カビゴン,Snorlax,160,110,65,65,110,30,540,ノーマル,,めんえき あついしぼう (くいしんぼう),2.1,460.0/a
144,フリーザー,Articuno,90,85,100,95,125,85,580,こおり,ひこう,プレッシャー (ゆきがくれ),1.7,55.4/c
145,サンダー,Zapdos,90,90,85,125,90,100,580,でんき,ひこう,プレッシャー (せいでんき),1.6,52.6/c
146,ファイヤー,Moltres,90,100,90,125,85,90,580,ほのお,ひこう,プレッシャー (ほのおのからだ),2.0,60.0/c
147,ミニリュウ,Dratini,41,64,45,50,50,50,300,ドラゴン,,だっぴ (ふしぎなうろこ),1.8,3.3/f
148,ハクリュー,Dragonair,61,84,65,70,70,70,420,ドラゴン,,だっぴ (ふしぎなうろこ),4.0,16.5/e
149,カイリュー,Dragonite,91,134,95,100,100,80,600,ドラゴン,ひこう,せいしんりょく (マルチスケイル),2.2,210.0/a
150,ミュウツー,Mewtwo,106,110,90,154,90,130,680,エスパー,,プレッシャー (きんちょうかん),2.0,122.0/b
150-1,メガミュウツーX,Mega Mewtwo X,106,190,100,154,100,130,780,エスパー,かくとう,ふくつのこころ,2.3,127.0/b
150-2,メガミュウツーY,Mega Mewtwo Y,106,150,70,194,120,140,780,エスパー,,ふみん,1.5,33.0/d
151,ミュウ,Mew,100,100,100,100,100,100,600,エスパー,,シンクロ,0.4,4.0/f
152,チコリータ,Chikorita,45,49,65,49,65,45,318,くさ,,しんりょく (リーフガード),0.9,6.4/f
153,ベイリーフ,Bayleef,60,62,80,63,80,60,405,くさ,,しんりょく (リーフガード),1.2,15.8/e
154,メガニウム,Meganium,80,82,100,83,100,80,525,くさ,,しんりょく (リーフガード),1.8,100.5/b
155,ヒノアラシ,Cyndaquil,39,52,43,60,50,65,309,ほのお,,もうか (もらいび),0.5,7.9/f
156,マグマラシ,Quilava,58,64,58,80,65,80,405,ほのお,,もうか (もらいび),0.9,19.0/e
157,バクフーン,Typhlosion,78,84,78,109,85,100,534,ほのお,,もうか (もらいび),1.7,79.5/c
158,ワニノコ,Totodile,50,65,64,44,48,43,314,みず,,げきりゅう (ちからずく),0.6,9.5/f
159,アリゲイツ,Croconaw,65,80,80,59,63,58,405,みず,,げきりゅう (ちからずく),1.1,25.0/d
160,オーダイル,Feraligatr,85,105,100,79,83,78,530,みず,,げきりゅう (ちからずく),2.3,88.8/c
161,オタチ,Sentret,35,46,34,35,45,20,215,ノーマル,,にげあし するどいめ (おみとおし),0.8,6.0/f
162,オオタチ,Furret,85,76,64,45,55,90,415,ノーマル,,にげあし するどいめ (おみとおし),1.8,32.5/d
163,ホーホー,Hoothoot,60,30,30,36,56,50,262,ノーマル,ひこう,ふみん するどいめ (いろめがね),0.7,21.2/e
164,ヨルノズク,Noctowl,100,50,50,86,96,70,452,ノーマル,ひこう,ふみん するどいめ (いろめがね),1.6,40.8/d
165,レディバ,Ledyba,40,20,30,40,80,55,265,むし,ひこう,むしのしらせ はやおき (びびり),1.0,10.8/e
166,レディアン,Ledian,55,35,50,55,110,85,390,むし,ひこう,むしのしらせ はやおき (てつのこぶし),1.4,35.6/d
167,イトマル,Spinarak,40,60,40,40,40,30,250,むし,どく,むしのしらせ ふみん (スナイパー),0.5,8.5/f
168,アリアドス,Ariados,70,90,70,60,60,40,400,むし,どく,むしのしらせ ふみん (スナイパー),1.1,33.5/d
169,クロバット,Crobat,85,90,80,70,80,130,535,どく,ひこう,せいしんりょく (すりぬけ),1.8,75.0/c
170,チョンチー,Chinchou,75,38,38,56,56,67,330,みず,でんき,ちくでん はっこう (ちょすい),0.5,12.0/e
171,ランターン,Lanturn,125,58,58,76,76,67,460,みず,でんき,ちくでん はっこう (ちょすい),1.2,22.5/e
172,ピチュー,Pichu,20,40,15,35,35,60,205,でんき,,せいでんき (ひらいしん),0.3,2.0/f
173,ピィ,Cleffa,50,25,28,45,55,15,218,フェアリー,,メロメロボディ マジックガード (フレンドガード),0.3,3.0/f
174,ププリン,Igglybuff,90,30,15,40,20,15,210,ノーマル,フェアリー,メロメロボディ かちき (フレンドガード),0.3,1.0/f
175,トゲピー,Togepi,35,20,65,40,65,20,245,フェアリー,,はりきり てんのめぐみ (きょううん),0.3,1.5/f
176,トゲチック,Togetic,55,40,85,80,105,40,405,フェアリー,ひこう,はりきり てんのめぐみ (きょううん),0.6,3.2/f
177,ネイティ,Natu,40,50,45,70,45,70,320,エスパー,ひこう,シンクロ はやおき (マジックミラー),0.2,2.0/f
178,ネイティオ,Xatu,65,75,70,95,70,95,470,エスパー,ひこう,シンクロ はやおき (マジックミラー),1.5,15.0/e
179,メリープ,Mareep,55,40,40,65,45,35,280,でんき,,せいでんき (プラス),0.6,7.8/f
180,モココ,Flaaffy,70,55,55,80,60,45,365,でんき,,せいでんき (プラス),0.8,13.3/e
181,デンリュウ,Ampharos,90,75,85,115,90,55,510,でんき,,せいでんき (プラス),1.4,61.5/c
181-1,メガデンリュウ,Mega Ampharos,90,95,105,165,110,45,610,でんき,ドラゴン,かたやぶり,1.4,61.5/c
182,キレイハナ,Bellossom,75,80,95,90,100,50,490,くさ,,ようりょくそ (いやしのこころ),0.4,5.8/f
183,マリル,Marill,70,20,50,20,50,40,250,みず,フェアリー,あついしぼう ちからもち (そうしょく),0.4,8.5/f
184,マリルリ,Azumarill,100,50,80,60,80,50,420,みず,フェアリー,あついしぼう ちからもち (そうしょく),0.8,28.5/d
185,ウソッキー,Sudowoodo,70,100,115,30,65,30,410,いわ,,がんじょう いしあたま (びびり),1.2,38.0/d
186,ニョロトノ,Politoed,90,75,75,90,100,70,500,みず,,ちょすい しめりけ (あめふらし),1.1,33.9/d
187,ハネッコ,Hoppip,35,35,40,35,55,50,250,くさ,ひこう,ようりょくそ リーフガード (すりぬけ),0.4,0.5/f
188,ポポッコ,Skiploom,55,45,50,45,65,80,340,くさ,ひこう,ようりょくそ リーフガード (すりぬけ),0.6,1.0/f
189,ワタッコ,Jumpluff,75,55,70,55,95,110,460,くさ,ひこう,ようりょくそ リーフガード (すりぬけ),0.8,3.0/f
190,エイパム,Aipom,55,70,55,40,55,85,360,ノーマル,,にげあし ものひろい (スキルリンク),0.8,11.5/e
191,ヒマナッツ,Sunkern,30,30,30,30,30,30,180,くさ,,ようりょくそ サンパワー (はやおき),0.3,1.8/f
192,キマワリ,Sunflora,75,75,55,105,85,30,425,くさ,,ようりょくそ サンパワー (はやおき),0.8,8.5/f
193,ヤンヤンマ,Yanma,65,65,45,75,45,95,390,むし,ひこう,かそく ふくがん (おみとおし),1.2,38.0/d
194,ウパー,Wooper,55,45,45,25,25,15,210,みず,じめん,しめりけ ちょすい (てんねん),0.4,8.5/f
195,ヌオー,Quagsire,95,85,85,65,65,35,430,みず,じめん,しめりけ ちょすい (てんねん),1.4,75.0/c
